Vulnerability,Internal_Risk
Apache Hadoop HDFS DataNode Web Detection,High
Apache Tomcat servlet/JSP container default files,Low
CGI Generic Cookie Injection Scripting,High
CGI Generic Cross-Site Request Forgery Detection (potential),Med
CGI Generic HTML Injections (quick test),Med
CGI Generic Injectable Parameter,Med
CGI Generic Script Injection (quick test),Med
CGI Generic Tests HTTP Errors,Low
CGI Generic Tests Load Estimation (all tests),Low
CGI Generic XSS (comprehensive test),High
CGI Generic XSS (quick test),Low
Common Platform Enumeration (CPE),Med
Device Type,Low
External URLs,Low
HTTP Methods Allowed (per directory),Low
Missing or Permissive Content-Security-Policy HTTP Response Header,Med
Missing or Permissive X-Frame-Options HTTP Response Header,Med
OpenSSH &lt; 7.2 Untrusted X11 Forwarding Fallback Security Bypass,Med
PCI DSS Compliance : Handling False Positives,Med
PCI DSS Compliance : Remote Access Software Has Been Detected,High
SSH Algorithms and Languages Supported,Med
SSH Protocol Versions Supported,Med
SSH Server Type and Version Information,Med
SSH Weak MAC Algorithms Enabled,Med
TCP/IP Timestamps Supported,Med
Web Application Cookies Not Marked Secure,Med
Web Application Information Disclosure,High
Web Application Potentially Vulnerable to Clickjacking,High
Web mirroring,Med
Web Server Directory Enumeration,Low
Web Server No 404 Error Code Check,Low
Web Server robots.txt Information Disclosure,Med